Species	Reads
Sphingobium sp. SYK-6	10
Niabella soli	10
Arthrobacter sp. JBH1	10
Chryseobacterium sp. NBC 122	10
Janthinobacterium sp. 17J80-10	10
Rhodococcus sp. PBTS 1	10
Enterobacteriaceae bacterium ENNIH1	10
Mesorhizobium sp. 8	10
Flavonifractor plautii	10
Mesorhizobium opportunistum	10
Streptomyces fodineus	10
Acinetobacter piscicola	10
Paraburkholderia caffeinilytica	10
Pseudomonas kribbensis	10
Sphingomonas echinoides	10
Brucella sp. 09RB8910	10
Caulobacter henricii	10
Confluentimicrobium sp. EMB200-NS6	10
Streptococcus gallolyticus	9
Burkholderia gladioli	9
Microcella alkaliphila	9
Mycolicibacterium aubagnense	9
Lachnospiraceae bacterium Choco86	9
Novosphingobium sp. P6W	9
Neorhizobium sp. SOG26	9
Corynebacterium urealyticum	9
Variovorax sp. RA8	9
Flavobacterium sp. xlx-214	9
Rhodoferax ferrireducens	9
Neisseria sicca	9
Schaalia odontolytica	9
Methylocystis parvus	9
Neisseria subflava	9
Mesorhizobium sp. N3	9
Arthrobacter saudimassiliensis	9
Rothia dentocariosa	9
Aerosticca soli	9
Beauveria bassiana	9
Microbacterium oleivorans	9
Tatlockia micdadei	9
Neomicrococcus aestuarii	9
Arthrobacter sp. ZXY-2	9
Auraticoccus monumenti	9
Rhodoferax antarcticus	9
Beutenbergia cavernae	9
Chryseobacterium sp. NEB161	9
Verticillium nonalfalfae	9
Chlorobium phaeovibrioides	9
Marmoricola scoriae	9
Streptomyces sp. CC0208	9
Niveispirillum cyanobacteriorum	9
Sinorhizobium sp. M14	9
Azoarcus sp. DD4	9
Paraoceanicella profunda	9
Novosphingobium sp. PP1Y	9
Bacteroides graminisolvens	9
Aerococcus viridans	9
Actinomyces sp. oral taxon 414	9
Cellvibrio sp. KY-YJ-3	9
Wenyingzhuangia fucanilytica	9
Chryseobacterium joostei	9
Changchengzhania lutea	9
Conexibacter woesei	9
Burkholderia sp. BDU8	9
Undibacterium piscinae	9
Levilactobacillus brevis	9
Propionibacterium australiense	9
Psychrobacter sp. 13A	9
Bordetella hinzii	9
Podosphaera xanthii	9
Dietzia timorensis	9
Serpentinomonas mccroryi	9
Citrobacter freundii	9
Lysinimonas sp. KACC 19322	9
Pantoea sp. At-9b	9
Polaribacter reichenbachii	9
Capnocytophaga stomatis	9
Pantoea dispersa	9
Mycolicibacterium gadium	9
Azoarcus communis	9
Flammeovirga sp. MY04	9
Microbacterium phage Lynlen	9
Hyphomicrobium sp. ghe19	9
Chryseobacterium sp. JV274	9
Clostridium sp. SY8519	9
Hankyongella ginsenosidimutans	9
Lysobacter antibioticus	9
Novosphingobium sp. KA1	9
Hymenobacter sp. BRD128	9
Sphingomonas sp. LMO-1	9
Ancylobacter pratisalsi	9
Klebsiella variicola	9
Bordetella bronchiseptica	9
Candida sojae	9
Acinetobacter calcoaceticus	8
Aeromonas veronii	8
Rhodococcus sp. WAY2	8
Paraburkholderia aromaticivorans	8
Pyricularia grisea	8
Aquabacterium sp. PL1F5	8
Herminiimonas arsenitoxidans	8
Phocaeicola dorei	8
Minicystis rosea	8
Flavobacterium faecale	8
Sulfitobacter sp. SK025	8
Pseudomonas orientalis	8
Pseudomonas viridiflava	8
Brevibacterium aurantiacum	8
Bordetella flabilis	8
Paraburkholderia sprentiae	8
Cellvibrio sp. KY-GH-1	8
Dietzia psychralcaliphila	8
Streptomyces dengpaensis	8
Acidibrevibacterium fodinaquatile	8
Methylocystis bryophila	8
Cnuibacter physcomitrellae	8
Geobacillus sp. LC300	8
Spirosoma aerolatum	8
Halomonas sp. PGE1	8
Micromonospora echinofusca	8
Clostridioides difficile	8
Cupriavidus campinensis	8
Massilistercora timonensis	8
Salinibacterium sp. UTAS2018	8
Cellulosimicrobium sp. BI34T	8
Candida parapsilosis	8
Paracoccus pantotrophus	8
Ochrobactrum rhizosphaerae	8
Methylobacterium sp. 17Sr1-1	8
Prosthecochloris sp. HL-130-GSB	8
Sphingobium sp. PAMC28499	8
Nonomuraea sp. ATCC 55076	8
Acidovorax citrulli	8
Mycobacterium noviomagense	8
Luteimicrobium xylanilyticum	8
Flavisolibacter tropicus	8
Sphingobium phenoxybenzoativorans	8
Chelatococcus daeguensis	8
Brevibacterium sp. YB235	8
Microbacterium sp. str. 'China'	8
Pseudomonas sp. BIGb0427	8
Pseudomonas sp. THAF7b	8
Bacillus sp. NSP2.1	8
Cupriavidus sp. USMAA2-4	8
Gordonia iterans	8
Lactobacillus acetotolerans	8
Halobiforma lacisalsi	8
Pedobacter steynii	8
Agrococcus sp. SGAir0287	8
Streptococcus sp. A12	8
Xanthomonas perforans	8
Ornithinimicrobium sp. AMA3305	8
Porphyromonas gingivalis	8
Hymenobacter sp. DG01	8
Proteus mirabilis	8
Geobacillus sp. WCH70	8
Yersinia frederiksenii	8
Paraurantiacibacter namhicola	8
Micavibrio aeruginosavorus	8
Paraoerskovia marina	8
Kocuria turfanensis	8
Rhodococcus sp. X156	8
Chromobacterium paludis	8
Pseudomonas sp. M30-35	8
Aureobasidium namibiae	8
Fusarium coffeatum	8
Kineococcus radiotolerans	8
Candidatus Accumulibacter sp.	8
Sinorhizobium americanum	7
Flaviflexus sp. H23T48	7
Paraburkholderia caledonica	7
Diaphorobacter ruginosibacter	7
Marinobacter sp. Arc7-DN-1	7
Pelagerythrobacter marensis	7
Silicimonas algicola	7
Cutibacterium avidum	7
Isoptericola variabilis	7
Prevotella enoeca	7
Pseudomonas synxantha	7
Halomonas sp. BC-M4-5	7
Xanthomonas translucens	7
Rhodoplanes sp. Z2-YC6860	7
Actinomyces lilanjuaniae	7
Pestalotiopsis fici	7
Rhizobium sp. ACO-34A	7
Lelliottia amnigena	7
Cryobacterium soli	7
Streptomyces scabiei	7
Pandoraea pulmonicola	7
Hymenobacter russus	7
Agrobacterium sp. 33MFTa1.1	7
Thauera chlorobenzoica	7
Staphylococcus phage StB27	7
Oryzomicrobium terrae	7
Erythrobacter sp. KY5	7
Lawsonella clevelandensis	7
Sphingomonas sp. MJ-3	7
Bordetella sp. H567	7
Rhodococcus sp. SGAir0479	7
Halomonas titanicae	7
Cellvibrio sp. PSBB023	7
Chryseobacterium indoltheticum	7
Gammaproteobacteria bacterium	7
Dyella jiangningensis	7
Streptococcus sanguinis	7
Chryseobacterium glaciei	7
Plantibacter flavus	7
Blastococcus saxobsidens	7
Parasphingopyxis algicola	7
Rahnella aquatilis	7
Arthrobacter sp. 24S4-2	7
Haloactinobacterium sp. HY164	7
Streptococcus australis	7
Rathayibacter sp. VKM Ac-2759	7
Nocardia sp. CS682	7
Aureimonas sp. AU20	7
Pandoraea vervacti	7
Erwinia pyrifoliae	7
Bradyrhizobium icense	7
Bacillus thuringiensis	7
Citromicrobium sp. JL477	7
Simplicispira suum	7
Hymenobacter swuensis	7
Flavobacterium sp. LPB0248	7
Aurantiacibacter atlanticus	7
Pasteurella multocida	7
Mesorhizobium huakuii	7
Sarocladium implicatum	7
Rhodococcus triatomae	7
Tardibacter chloracetimidivorans	7
Nocardioides sp. zg-579	7
Pseudomonas nitroreducens	7
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	7
Paludibacter propionicigenes	7
Paraburkholderia atlantica	7
Guyparkeria halophila	7
Comamonas koreensis	7
Microbacterium luteolum	7
Dechloromonas aromatica	7
Mycolicibacterium neoaurum	7
Bacteroides heparinolyticus	7
Rhizobium selenitireducens	7
Brevibacterium sp. CS2	7
Calycomorphotria hydatis	7
Flavobacterium sp. Sr18	7
Acidithiobacillus ferrivorans	7
Psychrobacter sp. DAB_AL32B	7
Xanthomonas vesicatoria	7
Luteimonas granuli	7
Curtobacterium pusillum	7
Aquisphaera giovannonii	7
Crinalium epipsammum	7
Methylobacterium sp. C1	7
Staphylococcus capitis	7
Pseudomonas sp. UW4	7
Verminephrobacter eiseniae	7
Sphingobacterium sp. G1-14	7
Microbacterium lemovicicum	7
Bradyrhizobium sp. CCBAU 51765	7
Corynebacterium striatum	7
Dyella thiooxydans	7
Thermomonospora amylolytica	7
Flavobacterium sp. 140616W15	7
Pandoraea oxalativorans	7
Comamonas serinivorans	7
Truepera radiovictrix	6
Sphingopyxis sp. MG	6
Adlercreutzia equolifaciens	6
Aspergillus heteromorphus	6
Pseudomonas sp. LBUM920	6
Fibrella aestuarina	6
Saccharomyces pastorianus	6
Acinetobacter defluvii	6
Azoarcus sp. M9-3-2	6
Sphaerotilus phage vB_SnaP-R1	6
Aspergillus fumigatus	6
Streptomyces koyangensis	6
Agrobacterium sp. MA01	6
Sphingobacterium sp. ML3W	6
Tannerella sp. oral taxon HOT-286	6
Burkholderia sp. LA-2-3-30-S1-D2	6
Maribacter sp. T28	6
Phreatobacter stygius	6
Phaeobacter inhibens	6
Acinetobacter shaoyimingii	6
Flavobacterium sp. ICM 1082	6
Marinobacterium aestuarii	6
Sinorhizobium fredii	6
Streptomyces sp. 769	6
Burkholderia glumae	6
Pseudomonas sp. S1-A32-2	6
Kocuria varians	6
Chryseobacterium indologenes	6
Pseudomonas syringae pv. actinidiae	6
Brevundimonas bullata	6
Pseudomonas parafulva	6
Xylanimonas cellulosilytica	6
Mycetocola sp. JXN-3	6
Azospirillum sp. TSA2s	6
Spiroplasma taiwanense	6
Micromonospora craniellae	6
Achromobacter ruhlandii	6
Pedobacter suwonensis	6
Bacteroides fragilis	6
Acinetobacter towneri	6
Humibacter sp. BT305	6
Starkeya sp. ORNL1	6
Acinetobacter sp. FDAARGOS_493	6
Flavobacterium sp. M31R6	6
Paenibacillus sp. UniB2	6
Curvibacter putative symbiont of Hydra magnipapillata	6
Thermaerobacter marianensis	6
Methylocystis sp. SC2	6
Salinicoccus halodurans	6
Cercospora sojina	6
Microbacterium sp. HY82	6
Planococcus plakortidis	6
Streptomyces aquilus	6
Nocardioides dokdonensis	6
Phycicoccus sp. HDW14	6
Erythrobacter mangrovi	6
Halalkalicoccus jeotgali	6
Sphingorhabdus sp. YGSMI21	6
Mycobacterium sp. JS623	6
Pseudarthrobacter equi	6
Bacteroides uniformis	6
Methylophilus methylotrophus	6
Granulibacter bethesdensis	6
Pseudomonas psychrophila	6
Shewanella sp. Arc9-LZ	6
Aurantiacibacter gangjinensis	6
Rhodobacter sp. LPB0142	6
Actinopolymorpha singaporensis	6
Leptotrichia buccalis	6
Psychrobacter sp. PRwf-1	6
Herbaspirillum robiniae	6
Staphylococcus lugdunensis	6
Microvirga thermotolerans	6
Micromonospora zamorensis	6
Hartmannibacter diazotrophicus	6
Peptoniphilus harei	6
Microbacterium protaetiae	6
Serratia plymuthica	6
Pseudomonas oryzihabitans	6
Fusarium oxysporum	6
Streptococcus cristatus	6
Salinicola tamaricis	6
Actinomadura verrucosospora	6
Enterocloster bolteae	6
Parageobacillus toebii	6
Staphylococcus warneri	6
Saccharothrix syringae	6
Massilia flava	6
Citricoccus sp. SGAir0253	6
Streptococcus equinus	6
Microbacterium testaceum	6
Vogesella sp. LIG4	6
Paracoccus aminophilus	6
Neorhizobium sp. NCHU2750	6
Devosia sp. 1566	6
Pseudomonas lurida	6
Devosia sp. H5989	6
Hydrogenophaga sp. PL2G6	6
Magnetospirillum magneticum	6
Sulfitobacter pseudonitzschiae	6
Leucobacter sp. HDW9B	6
Neurospora crassa	6
Janthinobacterium sp. Marseille	6
Fusarium subglutinans	6
Flavobacterium nackdongense	6
Hymenobacter sp. PAMC 26554	6
Burkholderia sp. THE68	6
Aeromonas media	6
Cyanobium sp. NS01	6
Runella sp. HYN0085	6
Talaromyces stipitatus	6
Candidatus Amoebophilus asiaticus	6
Curtobacterium sp. 9128	6
Chryseobacterium carnipullorum	6
Betaproteobacteria bacterium GR16-43	6
Xylanimonas allomyrinae	5
Bordetella genomosp. 9	5
Burkholderia vietnamiensis	5
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	5
Psychrobacter sp. P2G3	5
Prevotella dentalis	5
Amycolatopsis albispora	5
Rummeliibacillus stabekisii	5
Neisseria zoodegmatis	5
Starkeya novella	5
Petrocella atlantisensis	5
Salinibacterium sp. dk2585	5
Nonomuraea nitratireducens	5
Mycolicibacterium rhodesiae	5
Siansivirga zeaxanthinifaciens	5
Burkholderia sp. KK1	5
Pseudomonas caeni	5
Flavobacterium kingsejongi	5
Rahnella sp. ERMR1:05	5
Rhodococcus sp. WB9	5
Clostridium novyi	5
Diplodia corticola	5
Lysobacter gummosus	5
Myxococcus stipitatus	5
Bifidobacterium adolescentis	5
Brenneria nigrifluens	5
Sulfuritalea hydrogenivorans	5
Brucella melitensis	5
Halomonas meridiana	5
Acinetobacter tandoii	5
Tateyamaria omphalii	5
Pseudomonas sp. S09G 359	5
Mycobacterium leprae	5
Aeromonas hydrophila	5
Janibacter limosus	5
Corynebacterium falsenii	5
Martelella mediterranea	5
Flavobacterium sp. MDT1-60	5
Pseudomonas tolaasii	5
Kribbella qitaiheensis	5
Serpentinomonas raichei	5
Edwardsiella hoshinae	5
Rathayibacter sp. VKM Ac-2760	5
Synchytrium taraxaci	5
Amycolatopsis sp. YIM 10	5
Pseudomonas lundensis	5
Solibacillus silvestris	5
Pseudomonas sp. CFSAN084952	5
Hymenobacter sp. PAMC 26628	5
Shigella flexneri	5
Mycolicibacterium sediminis	5
Enterococcus wangshanyuanii	5
Pseudomonas brenneri	5
Nocardioides humi	5
Weizmannia coagulans	5
Desulfomicrobium orale	5
Arthrobacter alpinus	5
Pseudomonas alkylphenolica	5
Collimonas arenae	5
Tsuneonella mangrovi	5
Marinovum algicola	5
Crenobacter cavernae	5
Clostridium intestinale	5
Mycolicibacterium duvalii	5
Pseudomonas sp. BIOMIG1BAC	5
Bordetella pseudohinzii	5
Sulfurimicrobium lacus	5
Mycobacterium simiae	5
Cellulomonas sp. Y8	5
Bradyrhizobium zhanjiangense	5
Mucilaginibacter sp. PAMC 26640	5
Microlunatus sagamiharensis	5
Pseudomonas sp. MRSN12121	5
Rhodobacteraceae bacterium QY30	5
Sphaerisporangium sp. SANK 60911	5
Streptomyces albus	5
Leucobacter denitrificans	5
Pseudomonas cremoricolorata	5
Arthrobacter sp. MN05-02	5
Ornithinimicrobium sp. H23M54	5
Mesorhizobium loti	5
Maioricimonas rarisocia	5
Amycolatopsis mediterranei	5
Legionella fallonii	5
Acidovorax sp. HDW3	5
Haliscomenobacter hydrossis	5
Microbacterium amylolyticum	5
Rouxiella badensis	5
Rhodococcus sp. MTM3W5.2	5
Streptomyces sp. 3214.6	5
Afipia sp. GAS231	5
Rubrobacter sp. SCSIO 52909	5
Acinetobacter sp. C16S1	5
Methylococcus capsulatus	5
Acholeplasma brassicae	5
Pseudomonas litoralis	5
Mycobacterium florentinum	5
Klebsiella oxytoca	5
Alicyclobacillus acidocaldarius	5
Yersinia kristensenii	5
Corallococcus coralloides	5
Plantibacter sp. M259	5
Pseudomonas sp. MYb193	5
Azorhizobium caulinodans	5
Streptomyces sp. CLI2509	5
Ensifer sojae	5
Acinetobacter sp. Marseille-Q1620	5
Fluviicola taffensis	5
Nocardioides daphniae	4
Bordetella genomosp. 8	4
Leuconostoc carnosum	4
Streptomyces venezuelae	4
Aeromonas caviae	4
Pseudomonas phage PS-1	4
Rhizobium phage RR1-A	4
Prauserella marina	4
Victivallales bacterium CCUG 44730	4
Rhizobium sp. IE4771	4
Enterococcus thailandicus	4
Thauera hydrothermalis	4
Dinoroseobacter shibae	4
Streptomyces sp. C8S0	4
Lacticaseibacillus manihotivorans	4
Pseudomonas syringae	4
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	4
Laribacter hongkongensis	4
Natrialba magadii	4
Riemerella anatipestifer	4
Mammaliicoccus vitulinus	4
Limnohabitans sp. 103DPR2	4
Pseudomonas sp. R84	4
Rhodothermus marinus	4
Kribbella flavida	4
Weeksella virosa	4
Anaerocolumna sp. CBA3638	4
Streptosporangium roseum	4
Caballeronia sp. SBC2	4
Roseburia hominis	4
Fusarium phaseoli	4
Castellaniella defragrans	4
Hungatella hathewayi	4
Pseudomonas sp. DR 5-09	4
Pararhodospirillum photometricum	4
Modestobacter marinus	4
Azoarcus sp. CIB	4
Pseudoxanthomonas suwonensis	4
Arthrobacter sp. BP2	4
Mesorhizobium sp. Pch-S	4
Pseudomonas sp. R11-23-07	4
Actinomadura sp. WMMB 499	4
Paracoccus denitrificans	4
Mycobacterium gordonae	4
Streptococcus sp. oral taxon 431	4
Olsenella umbonata	4
Ralstonia mannitolilytica	4
Torulaspora delbrueckii	4
Arthrobacter sp. FB24	4
Rhodobacter blasticus	4
Acidipropionibacterium virtanenii	4
Glutamicibacter creatinolyticus	4
Dechloromonas sp. HYN0024	4
Fusarium odoratissimum	4
Orf virus	4
Cordyceps fumosorosea	4
Chryseobacterium piperi	4
Agrobacterium sp. RAC06	4
Gordonia rubripertincta	4
Cellulomonas shaoxiangyii	4
Mesorhizobium australicum	4
Aspergillus terreus	4
Thauera aromatica	4
Clostridiaceae bacterium 14S0207	4
Micromonospora terminaliae	4
Rhizobiales bacterium NRL2	4
Cellulosimicrobium sp. JZ28	4
Acinetobacter sp. 10FS3-1	4
Chitinophaga pinensis	4
Pseudomonas sp. RU47	4
Bordetella holmesii	4
Pseudomonas sp. VLB120	4
Yersinia enterocolitica	4
Thauera humireducens	4
Flavobacterium branchiophilum	4
Flavobacterium commune	4
Mycolicibacterium madagascariense	4
Thermomonas carbonis	4
Cupriavidus taiwanensis	4
Alternaria arborescens	4
Ruthenibacterium lactatiformans	4
Pseudomonas taetrolens	4
Azospirillum thermophilum	4
Arthrobacter sp. PAMC25564	4
Aureobasidium pullulans	4
Pseudonocardia broussonetiae	4
Burkholderia multivorans	4
Legionella pneumophila	4
Pseudomonas sp. LQ26	4
Colletotrichum scovillei	4
Morganella morganii	4
Bordetella trematum	4
Meiothermus silvanus	4
Arenimonas daejeonensis	4
Curtobacterium sp. BH-2-1-1	4
Deinococcus proteolyticus	4
Sphingomonas sp. HDW15B	4
Turicibacter sp. H121	4
Qipengyuania flava	4
uncultured beta proteobacterium CBNPD1 BAC clone 578	4
Cytophagales bacterium TFI 002	4
Actinomyces viscosus	4
Martelella endophytica	4
Amycolatopsis sp. AA4	4
Methylocella tundrae	4
Collimonas pratensis	4
Sorangium cellulosum	4
uncultured Carboxydothermus sp.	4
Bradyrhizobium lablabi	4
Chitinophaga sp. XS-30	4
Carnobacterium inhibens	4
uncultured Thermus/Deinococcus group bacterium	4
Pseudomonas vancouverensis	4
Pseudomonas sp. TCU-HL1	4
Burkholderia thailandensis	4
Pseudomonas brassicacearum	4
Luteibacter rhizovicinus	4
Mycolicibacterium litorale	4
Frankia alni	4
Cupriavidus nantongensis	4
Planococcus rifietoensis	4
Talaromyces funiculosus	4
Lysobacter oculi	4
Rathayibacter sp. VKM Ac-2804	4
Flavobacterium anhuiense	4
Ciceribacter thiooxidans	4
Dyadobacter fermentans	4
Serinicoccus chungangensis	3
Yersinia rohdei	3
Acetobacter oryzoeni	3
Blastochloris viridis	3
Phreatobacter sp. NMCR1094	3
Acremonium sp. 11665 DLW-2010	3
Arthrobacter sp. PM3	3
Mycobacteroides abscessus	3
Mycetocola zhujimingii	3
Rhizobium sp. NIBRBAC000502774	3
Trichoderma atroviride	3
Phycisphaeraceae bacterium	3
Aminobacter aminovorans	3
Microbacterium sp. SGAir0570	3
Limosilactobacillus oris	3
Nocardioides sp. S-1144	3
Deinococcus maricopensis	3
uncultured bacterium ctg7180000000737	3
Marinomonas arctica	3
Rhodobacteraceae bacterium SH-1	3
Sphingomonas lacunae	3
Stella humosa	3
Bacillus sp. Y1	3
Burkholderia sp. MSMB0856	3
Idiomarina andamanensis	3
Rhodothermaceae bacterium	3
Microlunatus sp. KUDC0627	3
Faecalibacterium prausnitzii	3
Leclercia adecarboxylata	3
Hymenobacter sedentarius	3
Gemmatirosa kalamazoonesis	3
Azospirillum brasilense	3
Arthrobacter agilis	3
Enterococcus casseliflavus	3
Mycobacterium stomatepiae	3
Fusarium asiaticum	3
Leptosphaeria maculans	3
Chryseobacterium sp. 7-3A	3
Hypericibacter terrae	3
Cupriavidus neocaledonicus	3
Virgibacillus sp. Bac330	3
Alienimonas californiensis	3
Ferrovibrio terrae	3
Pseudomonas sp. J380	3
Rhodobacteraceae bacterium	3
Limosilactobacillus vaginalis	3
Clostridium beijerinckii	3
Ancylobacter sp. TS-1	3
Shigella dysenteriae	3
Pseudomonas coronafaciens	3
Anoxybacillus amylolyticus	3
[Eubacterium] rectale	3
Rhodococcus jostii	3
Psychrobacter arenosus	3
Xanthomonas hyacinthi	3
Luteimonas sp. YGD11-2	3
Microlunatus soli	3
Gemmobacter sp. HYN0069	3
Aeromonas rivipollensis	3
Phialemoniopsis curvata	3
Chryseobacterium sp. 3008163	3
Rhizobium pseudoryzae	3
Polaribacter sp. SA4-12	3
Poseidonibacter lekithochrous	3
Novosphingobium tardaugens	3
Pontibacter russatus	3
Cellulomonas sp. H30R-01	3
Malassezia furfur	3
Jeotgalibaca porci	3
Frondihabitans sp. PAMC 28766	3
Streptomyces glaucescens	3
Actinoplanes sp. N902-109	3
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	3
Pseudomonas entomophila	3
Thermus aquaticus	3
Vibrio parahaemolyticus	3
Chryseobacterium balustinum	3
Stenotrophomonas sp. ZAC14A_NAIMI4_1	3
Pedobacter roseus	3
Nocardioides sp. JS614	3
Dickeya fangzhongdai	3
Chryseobacterium sp. G0201	3
Alcanivorax sp. IO_7	3
Companilactobacillus zhachilii	3
Bathymodiolus thermophilus thioautotrophic gill symbiont	3
Dyadobacter sp. 32	3
Streptococcus thermophilus	3
Corynebacterium nuruki	3
Pseudomonas mediterranea	3
Octadecabacter sp. SW4	3
Rhodotorula mucilaginosa	3
Chitinimonas arctica	3
Terriglobus roseus	3
Escherichia albertii	3
Calothrix sp. PCC 7507	3
Geobacillus sp. Y4.1MC1	3
Gordonia insulae	3
Staphylococcus saprophyticus	3
Streptomyces parvulus	3
Sinomonas sp. R1AF57	3
Serinicoccus marinus	3
Chryseolinea soli	3
Microbacterium phage ValentiniPuff	3
Thermoanaerobacter kivui	3
Enterococcus cecorum	3
Chryseobacterium lactis	3
Acidovorax cattleyae	3
Ensifer mexicanus	3
Methylobacterium sp. 4-46	3
Azospirillum thiophilum	3
Dolosigranulum pigrum	3
Mesorhizobium japonicum	3
Dickeya dadantii	3
Lysobacter sp. TY2-98	3
Microvirga ossetica	3
Pseudarthrobacter chlorophenolicus	3
Thermus oshimai	3
Aspergillus nidulans	3
Methylosinus trichosporium	3
Pseudomonas sp. SWI36	2
Marinobacter sp. LQ44	2
Fusobacterium nucleatum	2
Gordonia sp. 135	2
Nocardioides cynanchi	2
Streptomonospora sp. M2	2
Apiotrichum porosum	2
Roseibacterium elongatum	2
Pseudomonas oryzae	2
Lysobacter sp. HDW10	2
Pseudomonas sp. SWI7	2
Shewanella sp. WE21	2
Enterobacter roggenkampii	2
Variovorax sp. PBL-H6	2
Alcaligenes aquatilis	2
Chryseobacterium carnis	2
Paraburkholderia terricola	2
Planomicrobium glaciei	2
Hymenobacter sp. APR13	2
Myroides odoratimimus	2
Azospirillum oryzae	2
Candidatus Frankia datiscae	2
Chryseobacterium sp. POL2	2
Sphingobium sp. YBL2	2
Deinococcus radiodurans	2
Acinetobacter sp. ACNIH2	2
Pedococcus dokdonensis	2
Thalassococcus sp. S3	2
Lactobacillus amylovorus	2
Meiothermus taiwanensis	2
Gordonia sp. JH63	2
Thioflavicoccus mobilis	2
Pseudomonas sp. R5-89-07	2
Stenotrophomonas indicatrix	2
Nocardioides sp. HDW12B	2
Kocuria flava	2
Brucella intermedia	2
Saprospiraceae bacterium	2
Lysobacter soli	2
Belliella baltica	2
Geobacillus subterraneus	2
Micromonospora chokoriensis	2
Allokutzneria albata	2
Pseudorhodoplanes sinuspersici	2
Corynebacterium halotolerans	2
uncultured bacterium BLR13	2
Nocardia nova	2
Burkholderia stagnalis	2
Corynebacterium glyciniphilum	2
Brevibacterium sp. WO024	2
Thermomonospora curvata	2
Micromonospora sagamiensis	2
Streptomyces lavendulae	2
Enterobacter sp. JUb54	2
Clostridium baratii	2
Pelagibacterium halotolerans	2
Propionibacterium freudenreichii	2
Pseudomonas knackmussii	2
Caulobacteraceae bacterium OTSz_A_272	2
Nocardioides sp. MC1495	2
Herbaspirillum sp. meg3	2
Variovorax sp. SRS16	2
Peribacillus simplex	2
Herbinix luporum	2
Sporothrix schenckii	2
Serinicoccus hydrothermalis	2
Thiobacillus denitrificans	2
Cronobacter muytjensii	2
Massilia plicata	2
Burkholderia cepacia	2
Bacillus sp. X1(2014)	2
Streptomyces sp. SirexAA-E	2
Pseudomonas sp. S35	2
Curtobacterium sp. Csp2	2
Edwardsiella tarda	2
Pseudomonas sp. CFA	2
Gordonia phage Phendrix	1
Shewanella sp. FDAARGOS_354	1
Pseudomonas sp. TUM18999	1
Rhizobium favelukesii	1
Mameliella alba	1
Corynebacterium humireducens	1
Komagataeibacter xylinus	1
Rathayibacter tritici	1
Advenella mimigardefordensis	1
Flavobacterium sediminis	1
Sulfuricaulis limicola	1
Nakamurella panacisegetis	1
Hymenobacter sp. BT182	1
Actinoplanes friuliensis	1
Lacinutrix sp. 5H-3-7-4	1
Aeromonas jandaei	1
Pseudomonas sp. 14181154	1
Methylobacterium terrae	1
Mycolicibacterium fortuitum	1
Nitrosococcus oceani	1
Microbacterium endophyticum	1
Streptomyces sp. HM190	1
Kitasatospora sp. MMS16-BH015	1
Chaetomium globosum	1
Labrenzia sp. VG12	1
Sphingobium chlorophenolicum	1
Jejubacter calystegiae	1
Sideroxydans sp. CL21	1
Methyloversatilis universalis	1
Roseovarius sp. TM1035	1
Tessaracoccus aquimaris	1
Defluviimonas alba	1
Bradyrhizobium canariense	1
Corynebacterium sp. ATCC 6931	1
Corynebacterium xerosis	1
Beggiatoa leptomitoformis	1
Actinomyces sp. oral taxon 848	1
Ensifer alkalisoli	1
Mycobacterium saskatchewanense	1
Flavobacterium nitrogenifigens	1
Pseudolysobacter antarcticus	1
Heterodermia casarettiana	1
Glutamicibacter halophytocola	1
Serratia nematodiphila	1
Sphingobium herbicidovorans	1
Pasteurellaceae bacterium Orientalotternb1	1
Mycolicibacterium flavescens	1
Trichophyton rubrum	1
Streptomyces albidoflavus	1
Fusarium pseudograminearum	1
Nitratireductor sp. OM-1	1
Nocardioides sp. dk884	1
Mycetohabitans rhizoxinica	1
Brevundimonas sp.	1
Pseudomonas guangdongensis	1
Citrobacter rodentium	1
Hyphomicrobium denitrificans	1
Paracoccus jeotgali	1
Pseudomonas sp. R4-34-07	1
Hyphomonas neptunium	1
Chitinibacter sp. 2T18	1
Bradyrhizobium sp. LCT2	1
Mycolicibacterium smegmatis	1
Aquaspirillum sp. LM1	1
Aeromicrobium sp. MF47	1
Rhodobacter sp. CZR27	1
Pseudomonas sp. NS1(2017)	1
Pseudomonas sp. TMW 2.1634	1
Agrobacterium sp. H13-3	1
Capnocytophaga leadbetteri	1
Nocardioides sp. ZJ1313	1
Geodermatophilus obscurus	1
Burkholderia sp. CCGE1003	1
Leucobacter sp. HDW9A	1
Usitatibacter rugosus	1
Erythrobacter sp. THAF29	1
Neobacillus thermocopriae	1
Pedobacter heparinus	1
Tsuneonella amylolytica	1
Flavobacteriaceae bacterium	1
Paenarthrobacter aurescens	1
Microlunatus phosphovorus	1
Limosilactobacillus mucosae	1
Tenacibaculum mesophilum	1
Mycolicibacterium chubuense	1
Rhodobacter capsulatus	1
Pseudomonas sp. Y2	1
Streptomyces griseoviridis	1
Psychrobacter faecalis	1
Desulfuromonas sp. DDH964	1
Bordetella sp. N	1
Streptomyces sp. W1SF4	1
Selenomonas sp. oral taxon 126	1
Trichoderma reesei	1
Micromonospora siamensis	1
